,Dmix,Lmix,X,velocity
138,0.005,0.01,0.1240841666666666,22.79413466666666
139,0.005,0.01,0.1260554333333333,43.63883
140,0.005,0.01,0.1282295666666666,44.42022999999999
141,0.005,0.01,0.1303048,33.882439999999995
142,0.005,0.01,0.1321002999999999,13.498737999999998
143,0.005,0.01,0.1338047333333333,6.612178333333334
144,0.005,0.01,0.1360065,15.26499
145,0.005,0.01,0.1382622333333333,15.110643333333334
146,0.005,0.01,0.1405003,10.108603666666664
147,0.005,0.01,0.1420484,3.085533666666666
148,0.005,0.01,0.1433769333333333,16.153055333333334
149,0.005,0.01,0.1451946333333333,41.25571
150,0.005,0.01,0.1473885333333333,44.64094333333335
151,0.005,0.01,0.1494960666666666,37.14381666666666
152,0.005,0.01,0.1513559666666666,17.357568000000004
153,0.005,0.01,0.1529762333333333,5.461487
154,0.005,0.01,0.1550892666666666,14.27328
155,0.005,0.01,0.1573450333333333,15.572540000000002
156,0.005,0.01,0.1595971666666667,11.779350999999998
157,0.005,0.01,0.1613397666666666,3.8211046666666673
158,0.005,0.01,0.1626005666666666,10.715899666666669
159,0.005,0.01,0.1642615,37.83492666666667
160,0.005,0.01,0.1664458666666666,44.64236666666668
161,0.005,0.01,0.168588,39.88220666666666
162,0.005,0.01,0.1705042333333333,21.4471
163,0.005,0.01,0.1721162999999999,5.437696000000002
164,0.005,0.01,0.174103,12.818400333333331
165,0.005,0.01,0.1763587999999999,15.89684
166,0.005,0.01,0.1786144999999999,13.069253333333332
167,0.005,0.01,0.1805387,4.9918326666666655
168,0.005,0.01,0.1817845666666667,6.490343333333333
169,0.005,0.01,0.1832999999999999,33.57103333333334
170,0.005,0.01,0.1854458,44.44897
171,0.005,0.01,0.1876095,41.74742666666667
172,0.005,0.01,0.1895816,25.59211
173,0.005,0.01,0.1912217666666666,6.5571606666666655
174,0.005,0.01,0.1930517666666666,10.949670666666668
175,0.005,0.01,0.1952959666666666,16.0329
176,0.005,0.01,0.1975517333333333,14.039186666666666
